"eligibleTitle","link","searchYear","oscarsYear","matchname","tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","winner","id"
"Animal Crackers","https://tvtropes.org/pmwiki/pmwiki.php/Theatre/AnimalCrackers",1930,1931,"animalcrackers1931","tt0020640","movie","Animal Crackers","Animal Crackers",0,1930,,97,"Comedy,Musical",0,"m0055"
"Charlie Chan Carries On","https://tvtropes.org/pmwiki/pmwiki.php/Film/CharlieChan",1931,1931,"charliechancarrieson1931","tt0021733","movie","Charlie Chan Carries On","Charlie Chan Carries On",0,1931,,76,"Mystery",0,"m0056"
"Cimarron","https://tvtropes.org/pmwiki/pmwiki.php/Film/Cimarron",1931,1931,"cimarron1931","tt0021746","movie","Cimarron","Cimarron",0,1931,,123,"Drama,Western",2,"m0057"
"City Lights","https://tvtropes.org/pmwiki/pmwiki.php/Film/CityLights",1931,1931,"citylights1931","tt0021749","movie","City Lights","City Lights",0,1931,,87,"Comedy,Drama,Romance",0,"m0058"
"Dracula","https://tvtropes.org/pmwiki/pmwiki.php/Film/Dracula1931",1931,1931,"dracula1931","tt0021814","movie","Dracula","Dracula",0,1931,,75,"Fantasy,Horror",0,"m0059"
"Holiday","https://tvtropes.org/pmwiki/pmwiki.php/Film/Holiday",1930,1931,"holiday1931","tt0020985","movie","Holiday","Holiday",0,1930,,91,"Comedy,Drama",0,"m0060"
"Illicit","https://tvtropes.org/pmwiki/pmwiki.php/Film/Illicit",1931,1931,"illicit1931","tt0021992","movie","Illicit","Illicit",0,1931,,79,"Drama,Romance",0,"m0061"
"Just Imagine","https://tvtropes.org/pmwiki/pmwiki.php/Film/JustImagine",1930,1931,"justimagine1931","tt0021016","movie","Just Imagine","Just Imagine",0,1930,,113,"Comedy,Fantasy,Musical",0,"m0062"
"Little Caesar","https://tvtropes.org/pmwiki/pmwiki.php/Film/LittleCaesar",1931,1931,"littlecaesar1931","tt0021079","movie","Little Caesar","Little Caesar",0,1931,,79,"Action,Crime,Drama",0,"m0063"
"Min and Bill","https://tvtropes.org/pmwiki/pmwiki.php/Film/MinAndBill",1930,1931,"minandbill1931","tt0021148","movie","Min and Bill","Min and Bill",0,1930,,69,"Comedy,Drama",0,"m0064"
"Monte Carlo","https://tvtropes.org/pmwiki/pmwiki.php/Film/MonteCarlo1930",1930,1931,"montecarlo1931","tt0021153","movie","Monte Carlo","Monte Carlo",0,1930,,90,"Comedy,Musical,Romance",0,"m0065"
"Morocco","https://tvtropes.org/pmwiki/pmwiki.php/Film/Morocco",1930,1931,"morocco1931","tt0021156","movie","Morocco","Morocco",0,1930,,92,"Drama,Romance",0,"m0066"
"Skippy","https://tvtropes.org/pmwiki/pmwiki.php/Film/Skippy",1931,1931,"skippy1931","tt0022397","movie","Skippy","Skippy",0,1931,,85,"Comedy,Drama,Family",1,"m0068"
"The Dawn Patrol","https://tvtropes.org/pmwiki/pmwiki.php/Film/TheDawnPatrol",1930,1931,"dawnpatrol1931","tt0020815","movie","The Dawn Patrol","The Dawn Patrol",0,1930,,108,"Action,Drama,War",0,"m0070"
"The Front Page","https://tvtropes.org/pmwiki/pmwiki.php/Film/TheFrontPage1931",1931,1931,"frontpage1931","tt0021890","movie","The Front Page","The Front Page",0,1931,,101,"Comedy",1,"m0071"
"The Maltese Falcon","https://tvtropes.org/pmwiki/pmwiki.php/Film/TheMalteseFalcon1931",1931,1931,"maltesefalcon1931","tt0022111","movie","The Maltese Falcon","The Maltese Falcon",0,1931,,80,"Crime,Drama,Film-Noir",0,"m0072"
"The Miracle Woman","https://tvtropes.org/pmwiki/pmwiki.php/Film/TheMiracleWoman",1931,1931,"miraclewoman1931","tt0022153","movie","The Miracle Woman","The Miracle Woman",0,1931,,90,"Drama,Romance",0,"m0073"
"The Public Enemy","https://tvtropes.org/pmwiki/pmwiki.php/Film/ThePublicEnemy",1931,1931,"publicenemy1931","tt0022286","movie","The Public Enemy","The Public Enemy",0,1931,,83,"Crime,Drama",0,"m0074"
"Blonde Crazy","https://tvtropes.org/pmwiki/pmwiki.php/Film/BlondeCrazy",1931,1932,"blondecrazy1932","tt0021673","movie","Blonde Crazy","Blonde Crazy",0,1931,,79,"Comedy,Crime,Drama",0,"m0076"
"Charlie Chan’s Chance","https://tvtropes.org/pmwiki/pmwiki.php/Film/CharlieChan",1919,1932,"charliechanschance1932","tt0022755","movie","Charlie Chan's Chance","Charlie Chan's Chance",0,1932,,73,"Mystery",0,"m0077"
"Dr. Jekyll and Mr. Hyde","https://tvtropes.org/pmwiki/pmwiki.php/Film/DrJekyllAndMrHyde1931",1931,1932,"drjekyllandmrhyde1932","tt0022835","movie","Dr. Jekyll and Mr. Hyde","Dr. Jekyll and Mr. Hyde",0,1931,,98,"Horror,Sci-Fi",0,"m0078"
"Five Star Final","https://tvtropes.org/pmwiki/pmwiki.php/Film/FiveStarFinal",1931,1932,"fivestarfinal1932","tt0021873","movie","Five Star Final","Five Star Final",0,1931,,89,"Crime,Drama",1,"m0079"
"Frankenstein","https://tvtropes.org/pmwiki/pmwiki.php/Film/Frankenstein1931",1931,1932,"frankenstein1932","tt0021884","movie","Frankenstein","Frankenstein",0,1931,,70,"Drama,Horror,Sci-Fi",0,"m0080"
"Freaks","https://tvtropes.org/pmwiki/pmwiki.php/Film/Freaks",1932,1932,"freaks1932","tt0022913","movie","Freaks","Freaks",0,1932,,64,"Drama,Horror",0,"m0081"
"Grand Hotel","https://tvtropes.org/pmwiki/pmwiki.php/Film/GrandHotel",1932,1932,"grandhotel1932","tt0022958","movie","Grand Hotel","Grand Hotel",0,1932,,112,"Drama,Romance",2,"m0082"
"Le Million","https://tvtropes.org/pmwiki/pmwiki.php/Film/LeMillion",1931,1932,"lemillion1932","tt0022150","movie","Le Million","Le million",0,1931,,81,"Comedy,Musical",0,"m0083"
"Mata Hari","https://tvtropes.org/pmwiki/pmwiki.php/Film/MataHari",1931,1932,"matahari1932","tt0023196","movie","Mata Hari","Mata Hari",0,1931,,89,"Crime,Drama,Romance",0,"m0084"
"Monkey Business","https://tvtropes.org/pmwiki/pmwiki.php/Film/MonkeyBusiness",1931,1932,"monkeybusiness1932","tt0022158","movie","Monkey Business","Monkey Business",0,1931,,77,"Comedy,Musical",0,"m0085"
"Murders in the Rue Morgue","https://tvtropes.org/pmwiki/pmwiki.php/Film/MurdersInTheRueMorgue",1932,1932,"murdersintheruemorgue1932","tt0023249","movie","Murders in the Rue Morgue","Murders in the Rue Morgue",0,1932,,61,"Crime,Horror,Mystery",0,"m0086"
"One Hour with You","https://tvtropes.org/pmwiki/pmwiki.php/Film/OneHourWithYou",1932,1932,"onehourwithyou1932","tt0023303","movie","One Hour with You","One Hour with You",0,1932,,80,"Comedy,Musical,Romance",1,"m0087"
"Private Lives","https://tvtropes.org/pmwiki/pmwiki.php/Theatre/PrivateLives",1930,1932,"privatelives1932","tt0022279","movie","Private Lives","Private Lives",0,1931,,84,"Comedy,Drama,Romance",0,"m0088"
"Red Headed Woman","https://tvtropes.org/pmwiki/pmwiki.php/Film/RedHeadedWoman",1932,1932,"redheadedwoman1932","tt0023385","movie","Red-Headed Woman","Red-Headed Woman",0,1932,,79,"Comedy,Romance",0,"m0089"
"Scarface","https://tvtropes.org/pmwiki/pmwiki.php/Film/Scarface1932",1932,1932,"scarface1932","tt0023427","movie","Scarface","Scarface",0,1932,,93,"Action,Crime,Drama",0,"m0090"
"Shanghai Express","https://tvtropes.org/pmwiki/pmwiki.php/Film/ShanghaiExpress",1932,1932,"shanghaiexpress1932","tt0023458","movie","Shanghai Express","Shanghai Express",0,1932,,82,"Adventure,Drama,Romance",1,"m0091"
"Smiling Lieutenant","https://tvtropes.org/pmwiki/pmwiki.php/Film/TheSmilingLieutenant",1931,1932,"smilinglieutenant1932","tt0022074","movie","The Smiling Lieutenant","The Smiling Lieutenant",0,1931,,93,"Comedy,Musical,Romance",1,"m0092"
"Strange Interlude","https://tvtropes.org/pmwiki/pmwiki.php/Theatre/StrangeInterlude",1932,1932,"strangeinterlude1932","tt0023523","movie","Strange Interlude","Strange Interlude",0,1932,,109,"Drama",0,"m0093"
"Street Scene","https://tvtropes.org/pmwiki/pmwiki.php/Theatre/StreetScene",1929,1932,"streetscene1932","tt0022436","movie","Street Scene","Street Scene",0,1931,,80,"Drama,Romance",0,"m0094"
"The Champ","https://tvtropes.org/pmwiki/pmwiki.php/Film/TheChamp",1931,1932,"champ1932","tt0021730","movie","The Champ","The Champ",0,1931,,86,"Drama,Sport",1,"m0095"
"The Jewel Robbery","https://tvtropes.org/pmwiki/pmwiki.php/Film/JewelRobbery",1932,1932,"jewelrobbery1932","tt0023074","movie","Jewel Robbery","Jewel Robbery",0,1932,,68,"Comedy,Crime,Romance",0,"m0096"
"The Squaw Man","https://tvtropes.org/pmwiki/pmwiki.php/Film/TheSquawMan",1931,1932,"squawman1932","tt0022428","movie","The Squaw Man","The Squaw Man",0,1931,,107,"Western",0,"m0097"
"Three Wise Girls","https://tvtropes.org/pmwiki/pmwiki.php/Film/ThreeWiseGirls",1932,1932,"threewisegirls1932","tt0023589","movie","Three Wise Girls","Three Wise Girls",0,1932,,68,"Comedy,Drama,Romance",0,"m0098"
"Waterloo Bridge","https://tvtropes.org/pmwiki/pmwiki.php/Film/WaterlooBridge",1931,1932,"waterloobridge1932","tt0022550","movie","Waterloo Bridge","Waterloo Bridge",0,1931,,81,"Drama,Romance",0,"m0099"
"What Price Hollywood","https://tvtropes.org/pmwiki/pmwiki.php/Film/WhatPriceHollywood",,1932,"whatpricehollywood1932","tt0023686","movie","What Price Hollywood?","What Price Hollywood?",0,1932,,88,"Drama",0,"m0100"
"’Frisco Jenny","https://tvtropes.org/pmwiki/pmwiki.php/Film/FriscoJenny",1932,1933,"friscojenny1933","tt0022775","movie","Frisco Jenny","Frisco Jenny",0,1932,,73,"Drama",0,"m0101"
"A Farewell to Arms","https://tvtropes.org/pmwiki/pmwiki.php/Literature/AFarewellToArms",1932,1933,"farewelltoarms1933","tt0022879","movie","A Farewell to Arms","A Farewell to Arms",0,1932,,80,"Drama,Romance,War",1,"m0102"
